"List Name","Task Name","Status","Priority","Tags","Description","Acceptance Criteria","Story ID","Sprint Number"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-1: Refonte du Builder en ""Game Room"" (Mode Solo)","done","normal","user-story,sprint-1","En tant que utilisateur. Je veux accéder à un écran de configuration de quiz avec un design immersif de type ""salle de jeu"". Afin de me sentir dans une ambiance de jeu captivante avant de lancer mon quiz.","L'écran de configuration (builder) utilise un fond sombre (`#1B1D2A`) avec des cartes et éléments lumineux | Le titre affiché est ""Game Room"" avec un sous-titre ""Set up your quiz challenge"" | Les boutons de sélection du nombre de questions sont des cercles avec un effet de lueur orange lorsqu'ils sont actifs | Les boutons de difficulté (EASY, MEDIUM, HARD) sont affichés en mode pilules horizontales sur fond sombre | Le bouton ""Start Quiz"" est en orange vif (`#FF8C00`) avec une ombre portée lumineuse | Le bouton ""← Back"" permet de revenir à l'écran d'accueil","US-1","1"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-2: Système de Catégories Prédéfinies et Personnalisées","done","normal","user-story,sprint-1","En tant que utilisateur. Je veux choisir une catégorie de quiz parmi des catégories prédéfinies ou saisir un sujet personnalisé. Afin de jouer sur des thèmes précis sans devoir toujours rédiger un sujet manuellement.","6 catégories sont affichées sous forme de grille 2×3 avec des icônes emoji : | 🎬 **Entertainment** (Divertissement) | ⚽ **Sports** | 🧠 **General Knowledge** (Culture Générale) | 🔬 **Science** | 📜 **History** (Histoire) | ✏️ **Custom** (Personnalisé) | La catégorie sélectionnée est mise en surbrillance (fond orange) | Le champ de saisie ""Main topic or formula"" n'apparaît **que** lorsque la catégorie ""Custom"" est sélectionnée | Pour les catégories prédéfinies, le sujet est automatiquement défini (ex : ""Entertainment, movies, music, TV shows, celebrities, pop culture"")","US-2","1"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-3: Suppression du Choix de Mode de Quiz","done","normal","user-story,sprint-1","En tant que utilisateur. Je veux ne plus être confronté au choix du ""Quiz Mode"" (General / Key Facts / Custom). Afin de avoir une interface simplifiée et moins chargée.","Le sélecteur ""Choose quiz mode"" a été entièrement supprimé de l'écran builder | Le type `QuizMode` et la constante `QUIZ_MODE_LABELS` ont été supprimés du code | Le paramètre `quizMode` a été retiré de la fonction de génération de quiz | L'affichage ""Mode:"" a été supprimé de l'écran de quiz actif","US-3","1"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-4: Déplacement du Choix de Langue vers les Paramètres","done","normal","user-story,sprint-1","En tant que utilisateur. Je veux configurer la langue du quiz (Anglais / Arabe) depuis la page Paramètres. Afin de ne pas avoir à la choisir à chaque création de quiz.","Le sélecteur de langue a été retiré de l'écran builder | La page **Settings** affiche deux boutons de langue avec drapeaux : | 🇬🇧 **English** (sélectionné par défaut) | 🇸🇦 **Arabic** | Le bouton actif est en orange (`#FF8C00`), l'autre en blanc | La langue sélectionnée est un état global utilisé automatiquement lors de la génération de quiz | Le choix persiste pendant toute la session utilisateur","US-4","1"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-5: Réponse IA en JSON Pur avec Catégorisation","done","normal","user-story,sprint-1","En tant que système. Je veux que l'IA retourne exclusivement du JSON valide contenant deux objets : `categories` et `questions`. Afin de pouvoir catégoriser automatiquement chaque quiz et suivre les statistiques par catégorie.","Le prompt système précise : ""Output ONLY valid JSON with no markdown, no greetings, no extra text"" | Le format de réponse attendu est : | Le champ `categories` est un tableau de chaînes identifiant les catégories du quiz | Le parsing extrait et stocke les catégories retournées par l'IA | Pour les catégories prédéfinies, la catégorie sélectionnée est utilisée ; pour ""Custom"", la catégorie IA est utilisée","US-5","1"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-6: Tableau de Bord avec Statistiques Réelles","done","normal","user-story,sprint-1","En tant que utilisateur. Je veux voir mes statistiques de jeu réelles sur le tableau de bord. Afin de suivre ma progression et mes performances par catégorie.","**3 cartes de résumé** en haut du dashboard : | 🎮 **Total Quizzes** — nombre total de quiz joués | 🏆 **#1 Finishes** — nombre de quiz avec score parfait (100%) | 📈 **Win Rate** — pourcentage de scores parfaits sur le total | **Section ""Performance by Category""** : | Pour chaque catégorie jouée, affichage d'une ligne avec : | Emoji et nom de la catégorie (formaté avec majuscule) | Nombre de quiz joués et nombre de scores parfaits | Taux de réussite (% de scores parfaits) avec barre de progression colorée : | 🟢 Vert (`#4CAF50`) si ≥ 70% | 🟠 Orange (`#FF8C00`) si ≥ 40% | 🔴 Rouge (`#E53935`) si < 40% | **Toutes** les catégories apparaissent, y compris celles catégorisées par l'IA comme ""other"" | **Section ""Recent Activity""** : | Les 5 derniers quiz joués avec catégorie, date, score, et badge 🏆 si parfait | Si aucun quiz n'a été joué, un état vide s'affiche : ""No games yet — Play a quiz to see your category stats here""","US-6","1"
"Sprint 1 - Refonte Complète de l'Interface & Système de Catégories","US-7: Page d'Accueil avec Données Dynamiques","done","normal","user-story,sprint-1","En tant que utilisateur. Je veux que la page d'accueil affiche mes vrais résultats récents et mes vraies statistiques. Afin de voir ma progression dès l'ouverture de l'application.","La section ""Recent Games"" affiche les 5 derniers quiz joués avec : | Emoji de catégorie, nom de catégorie, score (ex: 8/10), barre de progression colorée | Badge 🏆 pour les scores parfaits | Si aucun quiz n'a été joué, un message s'affiche : ""🎮 Play a quiz to see your history here!"" | La carte ""Your Stats"" affiche : | Le taux de réussite global (win rate en %) | Le nombre total de parties jouées | Le nombre de scores parfaits | Le lien ""View Full History"" et ""See all"" redirigent vers le tab Dashboard | Les données fictives codées en dur (Sarah J., Mike Ross, Alex K., 124 games, 840 score) ont été **entièrement supprimées**","US-7","1"
"Sprint 2 - Correctifs Navigation & Expérience Utilisateur","US-8: Barre de Navigation Persistante sur Tous les Onglets","done","normal","user-story,sprint-2","En tant que utilisateur. Je veux pouvoir naviguer librement entre les onglets Home, Dashboard et Settings depuis n'importe quel écran. Afin de ne jamais me retrouver bloqué sur un écran sans moyen de revenir en arrière.","La barre de navigation (Home / Dashboard / Settings) est visible sur **tous** les onglets principaux | L'onglet actif est mis en surbrillance avec le point orange indicateur | Cliquer sur un onglet depuis Dashboard ou Settings navigue correctement vers l'onglet cible | Aucune régression sur le comportement des autres écrans (quiz, builder, résultats)","US-8","2"
"Sprint 3 - Nettoyage UI & Iconographie Personnalisée","US-9: Nettoyage de la Page d'Accueil","done","normal","user-story,sprint-3","En tant que utilisateur. Je veux une page d'accueil moins encombrée. Afin de me concentrer sur les actions principales (jouer seul ou avec des amis).","Retrait de la ligne ""Quick Actions"" (New Topic, Dashboard, Settings) située sous les cartes principales. | L'espace libéré améliore la lisibilité des sections ""Recent Games"" et ""Your Stats"".","US-9","3"
"Sprint 3 - Nettoyage UI & Iconographie Personnalisée","US-10: Iconographie ""Painted Pro"" sur Mesure","done","normal","user-story,sprint-3","En tant que utilisateur. Je veux des icônes de navigation qui ne ressemblent pas à de simples images ou emojis. Afin de avoir une interface au look professionnel et unique (""painted style"").","Suppression de tous les emojis Text dans la barre de navigation du bas. | Création d'un composant `TabIcons.tsx` utilisant uniquement des primitives `View` de React Native (sans bibliothèques externes ni images). | Design des icônes : | **HomeIcon** : Maison stylisée avec toit et porte. | **ChartIcon** : Graphique à barres dynamique à 4 colonnes. | **GearIcon** : Engrenage dessiné avec anneau central et dents positionnées précisément. | Les icônes s'adaptent dynamiquement : **Orange** (`#F5A623`) quand actif, **Gris** (`#C8C8C8`) quand inactif.","US-10","3"
"Sprint 4 - Friend Play (Firebase Rooms)","US-11: Accès au mode Friends depuis la Home","done","normal","user-story,sprint-4","En tant que utilisateur. Je veux cliquer sur ""With Friends"" depuis la Home pour accéder à un menu dédié. Afin de choisir rapidement entre créer une room et rejoindre une room existante.","La carte ""With Friends"" de la Home est cliquable | L'écran ""Play with Friends"" propose 2 options : **Create Room** et **Join Room** | Le bouton retour depuis ce menu ramène à la Home","US-11","4"
"Sprint 4 - Friend Play (Firebase Rooms)","US-12: Création de room ""myfriend"" avec état d'attente (Host)","done","normal","user-story,sprint-4","En tant que hôte. Je veux créer une room nommée **myfriend** et voir son code, mon profil, et l'état d'attente des joueurs. Afin de partager la room avec mes amis et préparer la partie.","La room créée utilise Firebase (Firestore) et génère un code à 6 chiffres | Le nom de room **myfriend** est affiché en blanc | L'hôte voit : | code de room | profil hôte | nombre de joueurs connectés | liste des joueurs de la room | L'écran contient des options d'attente (placeholder) | Le bouton ""Start Game"" reste désactivé tant qu'il y a moins de 2 joueurs","US-12","4"
"Sprint 4 - Friend Play (Firebase Rooms)","US-13: Rejoindre une room par code (+ scan caméra en placeholder)","done","normal","user-story,sprint-4","En tant que joueur. Je veux rejoindre une room via un code saisi. Afin de entrer dans la partie d'un ami même sans QR.","Un écran **Join Room** permet la saisie d'un code à 6 chiffres | En cas de code valide, le joueur rejoint la room Firebase et voit les infos de room/joueurs | Les erreurs sont gérées (code invalide, room introuvable) | L'option **Scan with Camera** est présente mais non active (coming soon)","US-13","4"
"Sprint 5 - Authentification Réelle & Persistance de Session","US-14: Authentification complète (Sign Up / Login / Google)","done","normal","user-story,sprint-5","En tant que utilisateur. Je veux créer un compte, me connecter avec email/mot de passe, ou utiliser Google. Afin de accéder à mon compte de façon simple et sécurisée.","Le Sign Up par email crée un compte Firebase et un profil utilisateur (`users/{uid}`) | Le Login email restaure le compte utilisateur existant | Le Sign In / Sign Up Google fonctionne sur Web | Le profil utilisateur contient `username`, `email`, `providerId`, `preferredLanguage`","US-14","5"
"Sprint 5 - Authentification Réelle & Persistance de Session","US-15: Persistance de session et fin de la boucle ""retour Home + re-login""","done","normal","user-story,sprint-5","En tant que utilisateur. Je veux rester connecté même si la synchronisation Firestore échoue temporairement. Afin de ne pas être renvoyé en boucle vers une reconnexion.","La session auth est initialisée avec persistance navigateur (`LOCAL`, fallback `SESSION`) | Si le document profil n'existe pas, il est créé automatiquement au lieu d'échouer | En cas d'erreur de sync profil/historique, l'utilisateur reste connecté (fallback local) | L'application affiche un message de sync au lieu de faire `signOut`","US-15","5"
"Sprint 6 - UI Polish (Auth Card + Iconographie)","US-16: Carte Login premium (thème Wi)","done","normal","user-story,sprint-6","En tant que utilisateur. Je veux une carte Login mieux travaillée visuellement (thème Wi, hiérarchie claire, Google CTA lisible). Afin de avoir une expérience d'authentification plus propre et plus moderne.","Carte login enrichie avec pattern visuel ""WI"" | Champs Email/Password en fond clair avec icônes à gauche | Séparateur **OR** entre login classique et login Google | Bouton Google blanc avec logo Google visible","US-16","6"
"Sprint 6 - UI Polish (Auth Card + Iconographie)","US-17: Ergonomie du champ mot de passe","done","normal","user-story,sprint-6","En tant que utilisateur. Je veux pouvoir afficher/masquer mon mot de passe sans icône œil. Afin de contrôler la saisie avec une interaction simple.","Icône password uniformisée (non-emoji, couleur cohérente) | L'icône de champ disparaît lors du focus/saisie | Option **Show/Hide** textuelle ajoutée sur le champ password","US-17","6"
"Sprint 6 - UI Polish (Auth Card + Iconographie)","US-18: Harmonisation des icônes ""painted"" Home/Dashboard","done","normal","user-story,sprint-6","En tant que utilisateur. Je veux des icônes visuellement cohérentes sur les états vides/statistiques. Afin de éviter l'effet ""image collée"" et garder un rendu premium.","Ajout d'icônes painted réutilisables (`GamepadIcon`, `TrophyIcon`, `ClipboardIcon`) | Intégration de ces icônes dans Home et Dashboard (résumé, badges, états vides)","US-18","6"
"Sprint 7 - Game Room Visual Polish","US-19: Refonte visuelle du builder (mode solo)","done","normal","user-story,sprint-7","En tant que utilisateur. Je veux un écran Game Room plus premium (contraste, profondeur, hiérarchie visuelle). Afin de avoir une expérience plus soignée avant de lancer le quiz.","Ajout d'effets visuels d'ambiance (glow de fond) | Header ""Game Room"" plus lisible et plus impactant | Cartes catégories modernisées (icône encapsulée, bordures, état actif renforcé) | Boutons Questions/Difficulty affinés pour rester cohérents avec le thème | Bouton **Start Quiz** retravaillé visuellement sans changer son comportement","US-19","7"
